time|mgrs_grid_id|gnodeb_id|cell_id|svid_tot_vid_download_dv|svid_tot_dl_vid_tcp_rtt|svid_tot_dl_vid_pkts_for_tcp_rtt|svid_tot_dl_tcp_pkts|svid_tot_dl_retrans_tcp_pkts|svid_tot_dl_vid_tcp_rtt_x_th|svid_tot_dl_vid_tcp_syn2synack_dly|svid_tot_dl_vid_tcp_est_syn2synack|svid_tot_dl_vid_tcp_synack2ack_dly|svid_tot_dl_vid_tcp_est_synack2ack|svid_tot_dl_vid_tcp_ack2data_dly|svid_tot_dl_vid_tcp_est_ack2data|total_mr_count|dl_ssb_rsrp_accumulated|dl_sinr_accumulated|ul_rsrp_accumulated|ul_sinr_accumulated|ul_ssb_rsrp_valid_count|ul_sinr_valid_count|dl_sinr_valid_count|dl_ssb_rsrp_valid_count|dl_ssb_rsrp_poor_count|dl_sinr_poor_count|dl_ssb_rsrp_and_sinr_valid_count|dl_ssb_rsrp_good_and_sinr_poor_count|dl_ssb_rsrp_poor_and_sinr_poor_count|ul_rsrp_poor_count|ul_sinr_poor_count|ul_rsrp_and_sinr_valid_count|ul_rsrp_good_and_sinr_poor_count|ul_rsrp_poor_and_sinr_poor_count|dl_cqi_cw0_accumulated|dl_cqi_cw0_count|dl_cqi_cw1_accumulated|dl_cqi_cw1_count|ul_mcs_accumulated|dl_mcs_accumulated|ul_mcs_tb_count|dl_mcs_tb_count|ul_rb_accumulated|dl_rb_accumulated|ul_rb_schd_count|dl_rb_schd_count|dl_rank1_count|dl_rank2_count|dl_rank3_count|dl_rank4_count
20260201|49QGF-53-36-50|7340001|3|3799040|214812|5508|66096|806|881|1364.26|60|938.52|7|3909.32|69|450|-3363|106.4|-4271.2|-95|38|38|38|38|0|9|38|9|0|0|9|38|9|0|494|38|299|23|35765|13825|387|3901|34984|69968|4477|7462|7|0|7|5
20260201|49QGF-54-36-50|7340001|1|4300800|108704|2528|27808|478|506|2016.13|40|754.4|78|7104.73|19|471|-3838|27.3|-4488.9|66.3|39|39|39|39|0|9|39|5|0|0|9|39|5|0|507|39|299|23|17480|58700|1936|3829|52045|104089|13264|22106|29|19|5|3
20260201|49QGF-55-36-50|7340001|7|4300800|67276|3058|24464|91|183|796.83|1|669.16|12|3482.12|76|1133|-8037|705|-9898.2|761.4|94|94|94|94|0|5|94|1|0|0|5|94|1|0|1410|94|840|56|4725|102114|537|2483|22892|45783|4964|8274|2|23|0|6
20260201|49QGF-56-36-50|7340001|17|4300800|218912|6841|61569|394|616|1199.02|3|1614.03|19|2159.41|78|1183|-9544|554.4|-11355.3|801.9|99|99|99|99|0|14|99|10|0|0|14|99|10|0|1386|99|826|59|41880|31642|1014|1471|78884|157767|19571|32618|30|35|2|4
20260201|49QGF-57-36-50|7340002|11|4300800|461073|8089|97068|2009|1375|1200.59|11|1647.7|35|5130.91|13|1814|-13122|558.7|-16398.6|-120.8|151|151|151|151|0|34|151|8|0|0|34|151|8|0|1963|151|1183|91|36478|52475|1417|379|127068|254135|15255|25425|19|9|2|4
20260201|49QGF-58-36-50|7340002|14|2073702.4|643720|8470|76230|2302|2456|1160.91|38|1874.54|36|1124.76|56|1769|-14024|176.4|-16214.1|102.9|147|147|147|147|0|49|147|5|0|0|49|147|5|0|1764|147|1056|88|42240|30672|1112|3025|131176|262352|13052|21754|3|8|2|6
20260201|49QGF-59-36-50|7340002|21|2521907.2|158600|3050|36600|458|488|694.21|70|1772.87|0|5617.32|66|933|-7652|514.8|-9422.4|998.4|78|78|78|78|0|2|78|10|0|0|2|78|10|0|1170|78|705|47|29224|93296|1353|1058|91124|182248|9601|16002|6|23|7|6
20260201|49QGF-60-36-50|7340002|1|3716608|111837|3389|40668|272|339|7.21|33|944.44|31|2546.87|74|2271|-18182|1701|-22056.3|2324.7|189|189|189|189|0|0|189|23|0|0|0|189|23|0|2835|189|1695|113|36244|53032|750|1811|106372|212743|22083|36805|16|38|1|2
20260201|49QGF-61-36-50|7340002|9|3061657.6|315647|8531|68248|717|1280|1255.09|43|101.31|2|5930.56|64|1266|-10155|349.8|-12645.8|773.8|106|106|106|106|0|26|106|18|0|0|26|106|18|0|1378|106|832|64|39192|5275|1627|254|106809|213617|19057|31762|1|28|7|5
20260201|49QGF-62-36-50|7340002|15|3336499.2|589038|10334|82672|1397|1963|734.66|60|807.69|68|3247.88|50|326|-2765|197.1|-3323.7|54|27|27|27|27|0|0|27|4|0|0|0|27|4|0|405|27|240|16|11050|37912|294|2423|146165|292330|18472|30786|10|28|2|0
20260201|49QGF-63-36-50|7340002|19|4300800|424248|6428|70708|1464|1157|2094.28|64|1559.53|0|1032.23|72|406|-3216|350.2|-3957.6|302.6|34|34|34|34|0|0|34|6|0|0|0|34|6|0|510|34|300|20|44148|26460|1043|2257|135873|271746|12560|20933|15|3|10|5
20260201|49QGF-64-36-50|7340002|1|3548467.2|226508|6662|73282|616|666|2330.86|75|513.24|59|7843.87|7|531|-3727|404.8|-4598|396|44|44|44|44|0|2|44|2|0|0|2|44|2|0|660|44|390|26|41625|19980|1426|3429|13580|27159|3076|5127|9|13|6|3
20260201|49QGF-65-36-50|7340002|5|2861363.2|484092|13447|134470|1291|1479|1935.48|47|429.34|36|7435.32|11|937|-7231|647.4|-9048|967.2|78|78|78|78|0|0|78|11|0|0|0|78|11|0|1170|78|705|47|32734|94808|718|456|48084|96167|6179|10299|17|7|10|0
20260201|49QGF-66-36-50|7340002|6|2211123.2|412480|6445|58005|1473|1418|289.1|73|541.35|13|2127.67|35|413|-3162|183.6|-3678.8|353.6|34|34|34|34|0|4|34|1|0|0|4|34|1|0|476|34|280|20|22800|44512|732|3955|132803|265605|17420|29034|10|18|7|4
20260201|49QGF-67-36-50|7340003|20|2040115.2|735480|9080|72640|1475|2542|1402.43|30|1788.74|11|5522.79|18|417|-3335|329|-4137|486.5|35|35|35|35|0|0|35|0|0|0|0|35|0|0|525|35|315|21|22672|56140|203|2242|148521|297042|15651|26085|17|9|10|5
20260201|49QGF-68-36-50|7340003|23|4300800|854488|14008|154088|4176|3222|1140.47|8|1851.61|46|1641.1|32|606|-4697|290.7|-5431.5|316.2|51|51|51|51|0|8|51|9|0|0|8|51|9|0|714|51|434|31|22368|74022|1735|2610|7179|14357|1049|1749|25|35|5|4
20260201|49QGF-69-36-50|7340003|20|2544537.6|832350|13425|147675|2245|2819|2131.67|17|824.39|28|2922.17|21|2078|-17386|1245.6|-21054.1|1764.6|173|173|173|173|0|9|173|19|0|0|9|173|19|0|2595|173|1560|104|25425|89748|516|2884|55475|110949|9749|16248|20|7|1|1
20260201|49QGF-70-36-50|7340004|3|4300800|380895|5685|56850|1455|1478|640.62|25|1001.27|34|630.76|59|2097|-17412|-717.5|-20212.5|-665|175|175|175|175|0|88|175|8|0|0|88|175|8|0|1925|175|1155|105|14920|69256|1904|3001|2441|4882|500|834|24|9|1|5
20260201|49QGF-71-36-50|7340004|17|3407769.6|12499|431|4310|19|43|1612.81|27|637.05|72|5194.55|17|429|-3557|687.6|-4172.4|741.6|36|36|36|36|0|0|36|4|0|0|0|36|4|0|540|36|330|22|23010|45556|502|3480|132990|265980|19388|32313|19|2|7|6
20260201|49QGF-72-36-50|7340004|10|3480473.6|218784|9116|100276|521|638|1005.97|43|98.66|28|5925.76|10|635|-4945|524.7|-6179.8|381.6|53|53|53|53|0|0|53|1|0|0|0|53|1|0|795|53|480|32|45370|76300|308|2381|3220|6439|623|1039|16|22|3|2
20260201|49QGF-73-36-50|7340004|17|4300800|43104|898|10776|162|117|1823.37|56|1210.91|16|3513.7|15|2067|-14465|2012.4|-17544|980.4|172|172|172|172|0|0|172|14|0|0|0|172|14|0|2580|172|1545|103|4992|76888|422|2567|16033|32066|2164|3606|6|22|3|3
20260201|49QGF-74-36-50|7340004|17|4300800|166750|5750|51750|279|460|1254.21|9|19.77|5|3863.61|44|1724|-12960|1094.4|-15062.4|936|144|144|144|144|0|8|144|17|0|0|8|144|17|0|2160|144|1290|86|45500|104112|475|1971|54740|109480|9671|16118|18|8|10|2
20260201|49QGF-75-36-50|7340004|4|4300800|405846|9663|86967|1426|1643|2184.25|75|1403.85|5|206.75|65|1883|-14193|31.4|-16516.4|-361.1|157|157|157|157|0|45|157|80|0|0|45|157|80|0|2041|157|1222|94|4026|37032|493|1484|85621|171241|14229|23715|22|24|3|0
20260201|49QGF-76-36-50|7340004|2|4300800|18156|356|3916|58|64|1257.27|77|43.64|26|2818.97|50|872|-7015|423.4|-8380.4|357.7|73|73|73|73|0|5|73|12|0|0|5|73|12|0|1022|73|616|44|44175|93771|574|2439|116738|233476|15833|26389|19|1|10|5
20260201|49QGF-77-36-50|7340004|6|4300800|280203|8491|93401|663|849|1914.86|62|92.19|60|4865.47|68|1185|-8019|1584|-9939.6|1960.2|99|99|99|99|0|0|99|13|0|0|0|99|13|0|1485|99|885|59|45786|36512|1465|3349|25077|50153|3447|5745|3|19|5|4
20260201|49QGF-78-36-50|7340004|5|4300800|346518|7533|90396|1537|1130|2304.8|64|209.3|1|5047.18|23|2026|-15987|692.9|-18995.6|507|169|169|169|169|0|28|169|4|0|0|28|169|4|0|2366|169|1414|101|13992|57148|1376|241|91840|183679|17237|28728|6|6|0|5
20260201|49QGF-79-36-50|7340004|23|3433267.2|27531|483|3864|87|97|1266.68|63|1096.23|59|1888.23|77|1394|-10649|1183.2|-12702|440.8|116|116|116|116|0|0|116|14|0|0|0|116|14|0|1740|116|1050|70|26572|24612|430|3761|170023|340046|17762|29604|27|7|4|5
20260201|49QGF-80-36-50|7340004|22|4284825.6|335016|13959|167508|704|977|986.38|17|18.27|25|8264.89|9|1560|-12480|884|-14898|455|130|130|130|130|0|9|130|2|0|0|9|130|2|0|1820|130|1092|78|19525|38151|1767|2409|43072|86144|7742|12903|11|15|6|2
20260201|49QGF-81-36-50|7340004|22|3122483.2|150593|3673|44076|648|477|228.81|21|1452.91|34|368.5|1|2133|-16447|961.2|-19882.6|1174.8|178|178|178|178|0|32|178|9|0|0|32|178|9|0|2492|178|1498|107|45480|43446|876|3268|95879|191757|19847|33079|6|12|7|1
20260201|49QGF-82-36-50|7340004|5|4128972.8|193410|4605|46050|686|599|610.71|77|1104.33|54|226.61|59|697|-4971|266.8|-5817.4|406|58|58|58|58|0|6|58|9|0|0|6|58|9|0|812|58|490|35|21225|24408|541|3117|131461|262921|16441|27401|12|1|2|2
20260201|49QGF-83-36-50|7340005|14|3906662.4|313344|9792|78336|509|881|2043.42|60|256.86|47|827.84|32|935|-7621|756.6|-9352.2|522.6|78|78|78|78|0|0|78|9|0|0|0|78|9|0|1170|78|705|47|15990|48916|650|240|24247|48493|3971|6618|28|38|7|3
20260201|49QGF-84-36-50|7340005|20|3164569.6|141120|2240|20160|119|426|954.9|76|1474.58|4|2125.97|40|1929|-18145|724.5|-21461.3|322|161|161|161|161|94|28|161|18|38|113|28|161|18|47|2254|161|1358|97|19992|91728|1687|2931|31854|63707|6953|11588|18|9|3|3
20260201|49QGF-85-36-50|7340005|10|3909939.2|918080|14345|172140|1635|3012|1718.97|9|596.49|3|1005.13|52|2084|-18357|1096.2|-22306.8|1392|174|174|174|174|65|10|174|4|26|78|10|174|4|33|2610|174|1560|104|18750|74925|259|789|1953|3905|331|551|22|27|9|2
20260201|49QGF-86-36-50|7340005|19|3684454.4|710632|13666|136660|2009|2460|1738.44|51|1293.31|15|1768.48|68|1982|-16269|1023|-19536|99|165|165|165|165|0|11|165|11|0|0|11|165|11|0|2310|165|1386|99|17775|7560|1467|3520|34290|68580|3970|6616|17|14|7|5
20260201|49QGF-87-36-50|7340005|13|2163916.8|192855|2967|35604|563|653|376.05|65|1562.48|29|6483.06|50|211|-1930|122.4|-2347.2|171|18|18|18|18|9|1|18|3|4|11|1|18|3|5|252|18|154|11|42775|32049|618|3097|92324|184647|11008|18346|13|35|4|0
20260201|49QGF-88-36-50|7340005|11|2202931.2|372982|4337|47707|1030|1301|1362.9|55|795.02|20|6948.07|2|1590|-13659|385.7|-16146.2|478.8|133|133|133|133|0|18|133|4|0|0|18|133|4|0|1862|133|1120|80|29064|57330|1065|1369|72212|144423|10957|18261|0|3|5|0
20260201|49QGF-89-36-50|7340005|10|1849139.2|543802|8771|87710|1307|2105|1223|54|1857.63|38|4268.87|64|1487|-13268|235.6|-15115.6|99.2|124|124|124|124|49|9|124|3|20|59|9|124|3|25|1736|124|1036|74|14850|93771|1301|3680|13025|26049|1858|3096|29|2|8|0
20260201|49QGF-90-36-50|7340005|23|2712473.6|53480|955|11460|34|172|1628.31|56|336.35|77|1379.97|55|1498|-14625|1387.5|-16662.5|1600|125|125|125|125|73|0|125|9|29|88|0|125|9|37|1875|125|1125|75|8476|44632|636|1751|51338|102676|15666|26110|17|11|7|4
20260201|49QGF-91-36-50|7340005|17|1392640|723541|7951|63608|1259|2385|1759.45|24|777.32|59|7484.21|55|2278|-22306|2394|-25840|1254|190|190|190|190|129|0|190|8|52|155|0|190|8|65|2850|190|1710|114|5226|46004|1391|395|53842|107683|7171|11952|21|33|4|0
20260201|49QGF-92-36-50|7340005|1|2054758.4|227850|3038|24304|382|820|20.35|13|1151.42|54|2241.85|54|1587|-15457|237.6|-17780.4|105.6|132|132|132|132|96|22|132|1|38|115|22|132|1|48|1848|132|1106|79|11640|38740|807|3400|44593|89186|7396|12327|13|6|10|0
20260201|49QGF-93-36-50|7340005|4|1472409.6|10680|120|1320|24|35|74.43|78|759.39|60|4546.19|7|600|-5590|145|-6730|355|50|50|50|50|28|9|50|7|11|34|9|50|7|14|700|50|420|30|28224|88036|1798|2627|42643|85286|5576|9293|8|6|1|3
20260201|49QGF-94-36-50|7340006|12|2852966.4|414104|5596|67152|524|1399|1956.2|71|1217.32|77|5780.45|1|1471|-14342|381.3|-16309.8|1168.5|123|123|123|123|76|30|123|3|30|91|30|123|3|38|1599|123|962|74|40342|86050|1594|1424|31974|63948|13841|23068|17|2|9|3
20260201|49QGF-95-36-50|7340006|17|2557644.8|193016|4196|33568|101|629|298.22|1|1466.86|72|2957.55|64|2043|-18292|1683|-20791|1462|170|170|170|170|68|0|170|20|27|82|0|170|20|34|2550|170|1530|102|8502|84420|1469|3186|33004|66007|9584|15974|27|20|10|0
20260201|49QGF-96-36-50|7340006|17|1977548.8|321720|5745|45960|138|1149|1429.81|58|1892.45|56|4458.08|80|1207|-12625|626.2|-14210.7|-161.6|101|101|101|101|92|5|101|4|37|110|5|101|4|46|1515|101|915|61|35050|38259|1385|3596|59529|119057|15617|26028|4|15|5|6
20260201|49QGF-97-36-50|7340006|13|2771251.2|30555|679|5432|19|88|2250.41|4|267.08|68|4999.21|12|593|-5263|284.2|-6325.9|220.5|49|49|49|49|22|0|49|6|9|26|0|49|6|11|735|49|435|29|38896|76384|280|2858|12309|24617|14770|24617|24|20|1|6
20260201|49QGF-98-36-50|7340006|5|3836825.6|404120|10103|80824|242|1313|1104.11|10|754|8|4307.99|65|1597|-14351|2367.4|-16425.5|2420.6|133|133|133|133|61|0|133|11|24|73|0|133|11|31|1995|133|1200|80|21944|105168|1442|1915|34517|69033|7162|11937|3|7|9|4
20260201|49QGF-99-36-50|7340006|3|4300800|642798|15678|141102|988|2195|371.65|63|1509.14|66|3921.56|5|1237|-10403|391.4|-11865.6|-154.5|103|103|103|103|0|20|103|11|0|0|20|103|11|0|1339|103|806|62|12312|36296|1150|345|21666|43332|11020|18366|22|7|5|2
20260201|49QGF-100-36-50|7340007|16|4300800|143640|3192|35112|534|606|843.2|31|1207.92|17|1336.04|49|1557|-13091|39|-15392|273|130|130|130|130|0|42|130|13|0|0|42|130|13|0|1560|130|936|78|32912|63000|1465|393|41547|83094|14809|24681|18|30|3|4
20260201|49QGF-101-36-50|7340007|4|4300800|442530|13410|107280|322|1341|1115.49|22|113.86|4|5536.71|30|1694|-14622|1579.2|-16962.3|1269|141|141|141|141|0|0|141|17|0|0|0|141|17|0|2115|141|1275|85|4966|105252|1836|3779|7516|15031|9019|15031|0|7|9|0
20260201|49QGF-102-36-50|7340007|22|3352780.8|638968|12056|120560|1531|3014|69.75|20|763.32|16|5889.53|16|896|-8055|60|-9172.5|-15|75|75|75|75|32|19|75|0|13|38|19|75|0|16|975|75|585|45|33304|85000|1462|2603|22162|44324|14699|24499|18|15|5|6
20260201|49QGF-103-36-50|7340007|2|2480947.2|392777|5101|56111|1044|1632|906.61|52|542.31|39|6933.69|12|1828|-17252|-15.2|-20200.8|319.2|152|152|152|152|91|43|152|24|36|109|43|152|24|46|1976|152|1183|91|26642|51216|1607|769|39491|78982|17573|29289|0|6|3|3
20260201|49QGF-104-36-50|7340007|23|3267993.6|465552|9699|96990|291|1455|1281.12|64|1202.83|12|5673.43|68|2170|-20073|1846.2|-23729.1|886.9|181|181|181|181|87|0|181|17|35|104|0|181|17|44|2715|181|1635|109|29536|26320|526|2064|53593|107186|18308|30513|9|37|3|2
20260201|49QGF-105-36-50|7340007|8|4300800|318025|12721|152652|901|1018|2172.76|65|1328.72|70|2503.58|19|960|-7424|368|-9040|32|80|80|80|80|0|11|80|10|0|0|11|80|10|0|1120|80|672|48|18192|88530|359|2353|54200|108399|10415|17358|16|17|2|4
20260201|49QGF-106-36-50|7340008|1|4300800|131835|3995|39950|120|439|1356.5|44|1851.99|58|391.48|58|1488|-12747|1128.4|-15053.6|1512.8|124|124|124|124|0|0|124|7|0|0|0|124|7|0|1860|124|1110|74|50024|109732|974|2579|30694|61387|11292|18820|7|8|5|0
20260201|49QGF-107-36-50|7340008|17|2660454.4|116864|1826|14608|374|566|2288.37|38|354.97|14|5547.05|55|567|-4977|-117.5|-6063|-51.7|47|47|47|47|13|17|47|7|5|16|17|47|7|7|564|47|336|28|16107|46805|715|2024|90177|180354|22500|37500|19|6|6|2
20260201|49QGF-108-36-50|7340008|11|4300800|328662|8649|103788|311|1038|2149.98|73|649.63|25|5994.56|40|267|-2328|294.8|-2752.2|305.8|22|22|22|22|9|0|22|2|4|11|0|22|2|5|330|22|195|13|40378|58184|1568|3737|91859|183717|20907|34845|26|13|3|2
20260201|49QGF-109-36-50|7340008|5|4300800|164373|4981|49810|149|448|1201.39|73|1387.16|9|768.82|11|1436|-12156|1644|-13992|1716|120|120|120|120|0|0|120|6|0|0|0|120|6|0|1800|120|1080|72|19942|12292|324|3793|70141|140281|13235|22059|13|11|5|6
20260201|49QGF-110-36-50|7340008|13|4300800|653900|12575|150900|2143|2389|1505.24|41|869.11|45|4761.27|68|1145|-10003|180.5|-11466.5|-361|95|95|95|95|36|15|95|1|14|43|15|95|1|18|1330|95|798|57|20232|9490|1800|434|62963|125926|17490|29150|16|6|7|6
20260201|49QGF-111-36-50|7340008|12|1468928|204300|4086|40860|257|858|505.81|41|1321.51|21|2532.32|7|105|-986|36|-1201.5|0.9|9|9|9|9|4|2|9|1|2|5|2|9|1|2|126|9|70|5|24288|46800|286|3929|21580|43159|9934|16557|13|8|8|3
20260201|49QGF-112-36-50|7340008|2|4300800|205550|8222|98664|622|740|320.69|70|518.48|0|5226.98|18|436|-3402|147.6|-4140|7.2|36|36|36|36|0|5|36|3|0|0|5|36|3|0|504|36|308|22|32592|32344|696|1263|42961|85921|10670|17784|11|2|2|6
20260201|49QGF-113-36-50|7340008|2|3191603.2|185346|4413|39717|119|574|3.49|52|1656.03|43|5397.81|4|1392|-12493|1415.2|-14268|2146|116|116|116|116|52|0|116|3|21|62|0|116|3|26|1740|116|1050|70|32240|69860|1057|3784|69549|139098|22293|37155|7|8|4|1
20260201|49QGF-114-36-50|7340009|5|3406438.4|36556|703|7030|85|105|1642.62|53|1414.3|61|946.93|19|2073|-17110|1435.9|-20690.8|1522.4|173|173|173|173|0|0|173|27|0|0|0|173|27|0|2595|173|1560|104|28236|74116|1602|736|148623|297245|21741|36235|11|29|6|6
20260201|49QGF-115-36-50|7340009|19|2650726.4|185184|2572|28292|702|874|1862.14|34|1147.58|6|2911.51|31|1832|-15759|153|-18972|15.3|153|153|153|153|0|36|153|15|0|0|36|153|15|0|1989|153|1196|92|40181|40975|1467|3031|46540|93080|5618|9364|20|10|6|0
20260201|49QGF-116-36-50|7340009|8|4300800|32120|440|5280|107|97|56.02|39|990.73|39|1451.22|69|1391|-10916|429.2|-13490.8|464|116|116|116|116|0|9|116|16|0|0|9|116|16|0|1624|116|980|70|16350|44658|1903|293|70822|141644|10156|16927|30|4|5|1
20260201|49QGF-117-36-50|7340009|5|3690905.6|622800|12975|116775|1600|2076|268.92|32|1070.1|72|583.3|51|2322|-16121|620.8|-19652.2|1008.8|194|194|194|194|0|22|194|32|0|0|22|194|32|0|2716|194|1624|116|44575|78570|1323|1263|135013|270026|22034|36723|27|24|7|1
20260201|49QGF-118-36-50|7340009|14|4300800|209592|5112|46008|497|665|413.66|66|826.83|21|7816.92|41|1012|-7577|999.6|-9298.8|588|84|84|84|84|0|0|84|5|0|0|0|84|5|0|1260|84|750|50|29302|74088|613|3128|72999|145997|9491|15819|14|27|10|6
20260201|49QGF-119-36-50|7340009|9|3429478.4|357680|4471|49181|787|1207|1025.56|40|592.78|71|7625.95|25|1076|-9081|837|-10665|855|90|90|90|90|0|0|90|7|0|0|0|90|7|0|1350|90|810|54|17108|86296|1205|1728|220120|440239|19895|33158|24|12|3|3
20260201|49QGF-120-36-50|7340009|18|4300800|835505|15191|151910|2582|2582|992.71|39|1137.48|31|4167.09|29|802|-5166|268|-6411.9|80.4|67|67|67|67|0|9|67|2|0|0|9|67|2|0|938|67|560|40|29256|57694|1036|3707|58646|117291|9017|15028|2|6|8|2
20260201|49QGF-121-36-50|7340009|20|4300800|249184|7787|70083|813|857|1337.6|56|1458.75|80|79.5|49|658|-5241|198|-6248|0|55|55|55|55|0|11|55|5|0|0|11|55|5|0|715|55|429|33|11352|65156|671|2090|84053|168105|20031|33385|19|32|9|2
20260201|49QGF-122-36-50|7340009|11|3022131.2|656197|8989|98879|2156|2157|1600.41|52|1383.67|9|3850.09|16|511|-4450|434.3|-5168.6|361.2|43|43|43|43|1|0|43|5|0|1|0|43|5|1|645|43|390|26|34684|27384|1187|2260|125135|250269|22551|37585|26|38|1|1
20260201|49QGF-123-36-50|7340009|15|2010828.8|870912|13608|108864|1894|2994|1103.86|5|232.01|45|7766.79|6|160|-1344|44.2|-1550.9|66.3|13|13|13|13|0|2|13|2|0|0|2|13|2|0|169|13|104|8|27648|35490|210|2614|110557|221113|20010|33350|0|40|9|6
20260201|49QGF-124-36-50|7340009|24|4200857.6|233164|3284|26272|499|722|999.89|15|424.12|4|1073.86|56|1366|-11252|729.6|-13018.8|410.4|114|114|114|114|0|1|114|16|0|0|1|114|16|0|1710|114|1020|68|9594|48356|1524|305|24045|48089|2894|4824|28|7|6|1
20260201|49QGF-125-36-50|7340009|6|4300800|308700|6174|67914|829|926|2093.48|68|1665.49|40|138.11|6|425|-3125|325.5|-3801|483|35|35|35|35|0|0|35|5|0|0|0|35|5|0|525|35|315|21|46696|94976|1608|2235|15198|30396|2218|3696|15|38|8|3
20260201|49QGF-126-36-50|7340009|4|2492313.6|38920|556|4448|101|133|915.06|7|1810.35|15|1367.26|25|490|-3854|172.2|-4735.5|-41|41|41|41|41|0|3|41|6|0|0|3|41|6|0|574|41|350|25|26050|61452|352|216|72885|145769|9899|16498|18|26|5|0
