grid_id,churn_users,churn_prob,downgrade_users
49QGF-103-37-50,6,0.33,10
49QGF-104-37-50,4,0.4,5
49QGF-105-37-50,8,0.28,11
49QGF-106-37-50,6,0.44,10
49QGF-107-37-50,1,0.22,1
49QGF-108-37-50,1,0.12,1
49QGF-109-37-50,5,0.37,7
49QGF-110-37-50,1,0.12,1
49QGF-111-37-50,1,0.46,1
49QGF-112-37-50,6,0.33,8
49QGF-113-37-50,6,0.28,9
49QGF-114-37-50,5,0.25,6
49QGF-115-37-50,3,0.11,4
49QGF-116-37-50,2,0.07,3
49QGF-117-37-50,2,0.21,2
49QGF-120-37-50,1,0.2,1
49QGF-121-37-50,2,0.07,3
49QGF-122-37-50,1,0.06,2
49QGF-123-37-50,1,0.06,1
49QGF-124-37-50,1,0.02,2
49QGF-127-37-50,1,0.18,1
49QGF-128-37-50,4,0.19,4
49QGF-129-37-50,10,0.34,14
49QGF-130-37-50,10,0.48,12
49QGF-131-37-50,2,0.36,2
49QGF-132-37-50,7,0.39,8
49QGF-133-37-50,4,0.28,5
49QGF-134-37-50,9,0.35,11
49QGF-135-37-50,2,0.21,3
49QGF-44-38-50,2,0.12,3
49QGF-45-38-50,10,0.34,13
49QGF-46-38-50,2,0.16,3
49QGF-47-38-50,1,0.22,1
49QGF-48-38-50,2,0.17,3
49QGF-49-38-50,2,0.28,3
49QGF-50-38-50,3,0.29,5
49QGF-51-38-50,11,0.36,18
49QGF-52-38-50,1,0.27,2
49QGF-53-38-50,8,0.29,11
49QGF-54-38-50,6,0.29,7
49QGF-55-38-50,7,0.27,12
49QGF-56-38-50,7,0.38,11
49QGF-58-38-50,2,0.12,3
49QGF-59-38-50,1,0.03,1
49QGF-61-38-50,1,0.04,2
49QGF-62-38-50,2,0.14,2
49QGF-63-38-50,4,0.17,4
49QGF-64-38-50,1,0.14,1
49QGF-65-38-50,8,0.28,10
49QGF-66-38-50,7,0.26,7
49QGF-67-38-50,4,0.19,4
49QGF-68-38-50,7,0.29,11
49QGF-69-38-50,2,0.14,3
49QGF-70-38-50,3,0.16,4
49QGF-73-38-50,6,0.24,9
49QGF-74-38-50,1,0.14,1
49QGF-75-38-50,1,0.06,1
49QGF-77-38-50,5,0.17,8
49QGF-79-38-50,3,0.12,4
49QGF-81-38-50,4,0.19,5
49QGF-83-38-50,3,0.17,4
49QGF-84-38-50,7,0.28,7
49QGF-85-38-50,10,0.33,14
49QGF-86-38-50,10,0.36,17
49QGF-87-38-50,7,0.26,12
49QGF-88-38-50,2,0.36,2
49QGF-89-38-50,3,0.1,4
49QGF-90-38-50,1,0.08,2
49QGF-91-38-50,3,0.28,4
49QGF-92-38-50,2,0.12,3
49QGF-93-38-50,1,0.23,1
49QGF-94-38-50,6,0.29,9
49QGF-95-38-50,1,0.31,1
49QGF-96-38-50,4,0.3,7
49QGF-97-38-50,2,0.28,4
49QGF-98-38-50,8,0.38,11
49QGF-99-38-50,5,0.35,9
49QGF-100-38-50,3,0.15,4
49QGF-101-38-50,5,0.21,6
49QGF-102-38-50,1,0.1,1
49QGF-103-38-50,3,0.28,3
49QGF-104-38-50,5,0.33,6
49QGF-105-38-50,6,0.23,9
49QGF-106-38-50,6,0.38,8
49QGF-107-38-50,3,0.34,5
49QGF-108-38-50,1,0.24,1
49QGF-109-38-50,1,0.1,2
49QGF-110-38-50,7,0.39,10
49QGF-111-38-50,2,0.37,3
49QGF-112-38-50,4,0.29,4
49QGF-113-38-50,7,0.27,9
49QGF-114-38-50,2,0.13,3
49QGF-115-38-50,2,0.12,3
49QGF-120-38-50,1,0.05,1
49QGF-121-38-50,4,0.15,5
49QGF-122-38-50,1,0.05,1
49QGF-123-38-50,2,0.06,3
49QGF-124-38-50,2,0.19,3
49QGF-125-38-50,4,0.24,6
49QGF-126-38-50,1,0.13,2
49QGF-127-38-50,1,0.23,1
49QGF-128-38-50,2,0.18,3
49QGF-129-38-50,2,0.08,2
49QGF-130-38-50,7,0.34,9
49QGF-131-38-50,3,0.3,5
49QGF-132-38-50,4,0.27,5
49QGF-133-38-50,4,0.21,6
49QGF-134-38-50,2,0.11,2
49QGF-135-38-50,5,0.25,7
49QGF-136-38-50,1,0.26,1
49QGF-43-39-50,1,0.25,1
49QGF-44-39-50,4,0.28,6
49QGF-45-39-50,1,0.28,2
49QGF-46-39-50,4,0.28,6
49QGF-47-39-50,5,0.25,8
49QGF-48-39-50,3,0.17,4
49QGF-49-39-50,3,0.11,5
49QGF-50-39-50,1,0.05,1
49QGF-51-39-50,1,0.12,1
49QGF-53-39-50,1,0.05,1
49QGF-54-39-50,1,0.04,1
49QGF-55-39-50,1,0.07,2
49QGF-58-39-50,1,0.06,1
49QGF-59-39-50,1,0.06,1
49QGF-63-39-50,1,0.28,1
49QGF-64-39-50,3,0.13,5
49QGF-65-39-50,4,0.23,6
49QGF-66-39-50,6,0.22,10
49QGF-67-39-50,2,0.1,2
49QGF-68-39-50,9,0.31,11
49QGF-69-39-50,7,0.3,9
49QGF-70-39-50,5,0.23,6
49QGF-71-39-50,2,0.06,2
49QGF-72-39-50,3,0.14,4
49QGF-74-39-50,2,0.15,2
49QGF-75-39-50,1,0.16,1
49QGF-79-39-50,1,0.13,1
49QGF-80-39-50,5,0.18,6
49QGF-81-39-50,4,0.18,4
49QGF-82-39-50,1,0.08,2
49QGF-83-39-50,8,0.36,10
49QGF-84-39-50,3,0.3,3
49QGF-85-39-50,3,0.13,3
49QGF-86-39-50,2,0.33,3
49QGF-87-39-50,6,0.41,8
49QGF-88-39-50,3,0.21,5
49QGF-89-39-50,7,0.34,7
49QGF-90-39-50,2,0.1,3
49QGF-91-39-50,2,0.38,3
49QGF-92-39-50,10,0.44,16
49QGF-93-39-50,7,0.31,13
49QGF-94-39-50,7,0.36,9
49QGF-95-39-50,2,0.12,2
49QGF-96-39-50,3,0.15,4
49QGF-97-39-50,4,0.14,7
49QGF-98-39-50,2,0.12,3
49QGF-99-39-50,4,0.35,5
49QGF-100-39-50,7,0.27,9
49QGF-101-39-50,1,0.28,1
49QGF-102-39-50,1,0.11,2
49QGF-103-39-50,7,0.36,11
49QGF-104-39-50,7,0.29,8
49QGF-105-39-50,2,0.32,3
49QGF-106-39-50,5,0.21,8
49QGF-107-39-50,6,0.29,9
49QGF-108-39-50,7,0.33,11
49QGF-109-39-50,3,0.43,3
49QGF-110-39-50,8,0.3,9
49QGF-111-39-50,1,0.23,1
49QGF-112-39-50,2,0.25,3
49QGF-113-39-50,1,0.37,2
49QGF-114-39-50,5,0.34,6
49QGF-115-39-50,2,0.13,3
49QGF-117-39-50,4,0.22,6
49QGF-120-39-50,2,0.06,2
49QGF-122-39-50,1,0.12,1
49QGF-123-39-50,1,0.29,1
49QGF-124-39-50,2,0.26,3
49QGF-125-39-50,8,0.36,13
49QGF-126-39-50,3,0.25,4
49QGF-127-39-50,1,0.33,1
49QGF-128-39-50,6,0.47,10
49QGF-129-39-50,5,0.44,7
49QGF-130-39-50,3,0.12,3
49QGF-131-39-50,6,0.32,7
49QGF-132-39-50,8,0.39,8
49QGF-133-39-50,2,0.15,3
49QGF-134-39-50,6,0.23,9
49QGF-135-39-50,4,0.17,6
49QGF-136-39-50,5,0.15,8
49QGF-43-40-50,5,0.2,6
49QGF-44-40-50,3,0.15,5
49QGF-46-40-50,1,0.26,1
49QGF-47-40-50,6,0.32,6
49QGF-48-40-50,1,0.09,2
49QGF-50-40-50,2,0.07,3
49QGF-51-40-50,1,0.08,2
49QGF-54-40-50,2,0.1,2
49QGF-56-40-50,2,0.13,3
49QGF-57-40-50,5,0.21,6
49QGF-58-40-50,1,0.03,1
49QGF-59-40-50,2,0.11,2
49QGF-63-40-50,6,0.23,8
49QGF-64-40-50,1,0.04,1
49QGF-65-40-50,3,0.29,4
49QGF-66-40-50,7,0.32,8
49QGF-67-40-50,7,0.28,9
49QGF-68-40-50,5,0.22,6
49QGF-69-40-50,3,0.13,4
49QGF-70-40-50,6,0.2,8
49QGF-71-40-50,1,0.09,1
49QGF-72-40-50,2,0.11,3
49QGF-73-40-50,2,0.08,2
49QGF-74-40-50,2,0.12,2
49QGF-75-40-50,2,0.06,4
49QGF-76-40-50,1,0.16,1
49QGF-77-40-50,1,0.11,1
49QGF-78-40-50,1,0.12,1
49QGF-79-40-50,2,0.19,2
49QGF-80-40-50,2,0.16,3
49QGF-82-40-50,3,0.18,5
49QGF-83-40-50,9,0.36,12
49QGF-84-40-50,10,0.35,16
49QGF-85-40-50,5,0.29,6
49QGF-86-40-50,8,0.36,13
49QGF-87-40-50,6,0.22,8
49QGF-89-40-50,9,0.36,13
49QGF-90-40-50,8,0.36,9
49QGF-91-40-50,2,0.15,2
49QGF-92-40-50,3,0.29,5
49QGF-93-40-50,4,0.28,7
49QGF-94-40-50,6,0.33,10
49QGF-95-40-50,7,0.3,11
49QGF-96-40-50,3,0.22,4
49QGF-97-40-50,5,0.19,6
49QGF-98-40-50,6,0.25,6
49QGF-99-40-50,5,0.36,7
49QGF-100-40-50,6,0.3,9
49QGF-101-40-50,5,0.26,6
49QGF-102-40-50,5,0.18,8
49QGF-103-40-50,8,0.3,11
49QGF-104-40-50,4,0.21,5
49QGF-105-40-50,2,0.41,3
49QGF-106-40-50,5,0.35,8
49QGF-107-40-50,6,0.25,8
49QGF-108-40-50,9,0.4,10
49QGF-109-40-50,5,0.34,8
49QGF-110-40-50,8,0.28,11
49QGF-111-40-50,5,0.26,7
49QGF-112-40-50,8,0.39,10
49QGF-114-40-50,3,0.13,4
49QGF-116-40-50,6,0.2,8
49QGF-117-40-50,1,0.08,1
49QGF-118-40-50,1,0.04,1
49QGF-120-40-50,1,0.11,1
49QGF-121-40-50,7,0.33,8
49QGF-122-40-50,5,0.26,5
49QGF-123-40-50,2,0.22,2
49QGF-124-40-50,1,0.11,2
49QGF-125-40-50,5,0.19,6
49QGF-126-40-50,1,0.26,1
49QGF-127-40-50,3,0.23,5
49QGF-128-40-50,3,0.15,4
49QGF-129-40-50,1,0.1,1
49QGF-130-40-50,2,0.23,3
49QGF-131-40-50,5,0.36,8
49QGF-132-40-50,3,0.2,4
49QGF-133-40-50,4,0.25,6
49QGF-134-40-50,2,0.25,2
49QGF-135-40-50,2,0.15,3
49QGF-136-40-50,4,0.26,7
49QGF-43-41-50,1,0.14,2
49QGF-45-41-50,3,0.29,5
49QGF-46-41-50,4,0.13,6
49QGF-51-41-50,2,0.09,2
49QGF-52-41-50,1,0.1,1
49QGF-54-41-50,2,0.15,2
49QGF-55-41-50,4,0.27,6
49QGF-56-41-50,1,0.04,2
49QGF-57-41-50,2,0.06,4
49QGF-58-41-50,1,0.08,2
49QGF-59-41-50,1,0.06,1
49QGF-60-41-50,1,0.06,1
49QGF-61-41-50,2,0.12,3
49QGF-63-41-50,2,0.09,3
49QGF-64-41-50,2,0.16,3
49QGF-65-41-50,3,0.24,5
49QGF-66-41-50,5,0.24,9
49QGF-67-41-50,1,0.09,1
49QGF-68-41-50,6,0.28,6
49QGF-69-41-50,2,0.29,3
49QGF-70-41-50,4,0.24,4
49QGF-72-41-50,1,0.14,1
49QGF-73-41-50,3,0.16,3
49QGF-74-41-50,3,0.12,5
49QGF-77-41-50,2,0.22,3
49QGF-78-41-50,7,0.24,9
49QGF-79-41-50,1,0.03,1
49QGF-80-41-50,3,0.14,5
49QGF-81-41-50,1,0.2,1
49QGF-82-41-50,1,0.09,1
49QGF-83-41-50,2,0.09,2
49QGF-84-41-50,7,0.25,9
49QGF-85-41-50,8,0.36,12
49QGF-86-41-50,2,0.17,3
49QGF-87-41-50,2,0.36,4
49QGF-88-41-50,5,0.34,6
49QGF-89-41-50,10,0.38,11
49QGF-90-41-50,3,0.15,4
49QGF-91-41-50,4,0.14,7
49QGF-92-41-50,12,0.46,13
49QGF-93-41-50,1,0.15,2
49QGF-94-41-50,4,0.24,5
49QGF-95-41-50,9,0.32,14
49QGF-96-41-50,1,0.21,2
49QGF-97-41-50,5,0.31,7
49QGF-98-41-50,6,0.31,7
49QGF-99-41-50,3,0.29,4
49QGF-100-41-50,1,0.08,2
49QGF-101-41-50,12,0.44,14
49QGF-102-41-50,3,0.39,4
49QGF-103-41-50,5,0.41,8
49QGF-104-41-50,2,0.3,2
49QGF-105-41-50,2,0.28,2
49QGF-106-41-50,1,0.38,1
49QGF-107-41-50,5,0.35,5
49QGF-108-41-50,4,0.41,4
49QGF-109-41-50,1,0.11,2
49QGF-111-41-50,1,0.12,1
49QGF-113-41-50,1,0.02,2
49QGF-114-41-50,1,0.04,1
49QGF-116-41-50,1,0.1,1
49QGF-117-41-50,1,0.04,1
49QGF-119-41-50,2,0.09,3
49QGF-120-41-50,3,0.31,4
49QGF-121-41-50,7,0.26,10
49QGF-122-41-50,2,0.31,3
49QGF-123-41-50,6,0.27,9
49QGF-124-41-50,7,0.23,8
49QGF-125-41-50,4,0.25,6
49QGF-126-41-50,1,0.15,1
49QGF-127-41-50,2,0.11,3
49QGF-128-41-50,1,0.04,2
49QGF-129-41-50,5,0.27,6
49QGF-130-41-50,8,0.3,13
49QGF-131-41-50,2,0.26,3
49QGF-132-41-50,2,0.22,2
49QGF-133-41-50,8,0.29,11
49QGF-134-41-50,4,0.29,4
49QGF-135-41-50,8,0.26,10
49QGF-136-41-50,3,0.13,3
49QGF-43-42-50,6,0.35,9
49QGF-44-42-50,7,0.31,12
49QGF-45-42-50,1,0.05,2
49QGF-46-42-50,2,0.18,3
49QGF-48-42-50,1,0.04,2
49QGF-49-42-50,1,0.16,1
49QGF-51-42-50,3,0.12,4
49QGF-52-42-50,2,0.12,4
49QGF-53-42-50,3,0.15,3
49QGF-55-42-50,1,0.05,1
49QGF-56-42-50,1,0.04,2
49QGF-57-42-50,1,0.06,1
49QGF-58-42-50,4,0.19,6
49QGF-62-42-50,1,0.09,2
49QGF-63-42-50,3,0.19,4
49QGF-64-42-50,6,0.27,9
49QGF-65-42-50,4,0.25,6
49QGF-66-42-50,5,0.3,9
49QGF-67-42-50,2,0.27,2
49QGF-68-42-50,6,0.28,7
49QGF-69-42-50,3,0.27,5
49QGF-70-42-50,2,0.26,3
49QGF-71-42-50,1,0.19,2
49QGF-72-42-50,4,0.17,7
49QGF-74-42-50,1,0.2,1
49QGF-75-42-50,2,0.17,3
49QGF-76-42-50,6,0.28,10
49QGF-77-42-50,3,0.1,5
49QGF-78-42-50,1,0.14,1
49QGF-79-42-50,3,0.17,4
49QGF-80-42-50,3,0.15,3
49QGF-82-42-50,3,0.4,5
49QGF-83-42-50,4,0.35,6
49QGF-84-42-50,5,0.38,9
49QGF-85-42-50,3,0.12,3
49QGF-86-42-50,2,0.26,2
49QGF-87-42-50,5,0.34,8
49QGF-88-42-50,7,0.37,9
49QGF-89-42-50,3,0.34,4
49QGF-90-42-50,1,0.19,1
49QGF-91-42-50,9,0.37,10
49QGF-92-42-50,6,0.35,9
49QGF-93-42-50,2,0.17,3
49QGF-94-42-50,6,0.28,6
49QGF-95-42-50,10,0.36,11
49QGF-96-42-50,8,0.28,11
49QGF-97-42-50,3,0.31,4
49QGF-98-42-50,4,0.33,4
49QGF-99-42-50,8,0.27,10
49QGF-100-42-50,10,0.35,12
49QGF-101-42-50,3,0.14,5
49QGF-102-42-50,3,0.21,4
49QGF-103-42-50,6,0.21,7
49QGF-104-42-50,9,0.4,12
49QGF-105-42-50,7,0.36,12
49QGF-106-42-50,10,0.39,17
49QGF-107-42-50,4,0.22,7
49QGF-110-42-50,2,0.07,3
49QGF-111-42-50,1,0.07,2
49QGF-113-42-50,1,0.05,2
49QGF-115-42-50,1,0.06,2
49QGF-117-42-50,1,0.07,1
49QGF-118-42-50,2,0.28,2
49QGF-119-42-50,3,0.2,4
49QGF-120-42-50,1,0.22,1
49QGF-121-42-50,2,0.39,4
49QGF-122-42-50,3,0.11,4
49QGF-123-42-50,1,0.18,1
49QGF-124-42-50,1,0.13,1
49QGF-125-42-50,4,0.25,7
49QGF-126-42-50,7,0.29,9
49QGF-127-42-50,2,0.32,3
49QGF-128-42-50,4,0.17,5
49QGF-129-42-50,2,0.19,3
49QGF-130-42-50,3,0.46,4
49QGF-131-42-50,1,0.21,1
49QGF-132-42-50,2,0.21,2
49QGF-133-42-50,2,0.09,3
49QGF-134-42-50,8,0.27,12
49QGF-135-42-50,9,0.32,14
49QGF-136-42-50,3,0.28,5
49QGF-43-43-50,2,0.07,3
49QGF-44-43-50,2,0.2,2
49QGF-45-43-50,2,0.25,2
49QGF-48-43-50,2,0.07,3
49QGF-50-43-50,1,0.09,2
49QGF-51-43-50,1,0.08,2
49QGF-53-43-50,1,0.04,1
49QGF-54-43-50,1,0.08,1
49QGF-60-43-50,1,0.08,2
49QGF-61-43-50,2,0.1,3
49QGF-63-43-50,3,0.17,5
49QGF-64-43-50,5,0.2,7
49QGF-65-43-50,1,0.09,2
49QGF-66-43-50,3,0.25,5
49QGF-67-43-50,3,0.28,4
49QGF-68-43-50,6,0.27,10
49QGF-69-43-50,5,0.3,7
49QGF-70-43-50,6,0.3,7
49QGF-71-43-50,4,0.18,7
49QGF-72-43-50,2,0.33,3
49QGF-73-43-50,2,0.12,2
49QGF-74-43-50,5,0.23,7
49QGF-75-43-50,2,0.33,3
49QGF-77-43-50,4,0.27,7
49QGF-78-43-50,3,0.26,5
49QGF-79-43-50,1,0.04,2
49QGF-80-43-50,1,0.15,1
49QGF-81-43-50,5,0.3,5
49QGF-82-43-50,1,0.33,2
49QGF-83-43-50,1,0.37,1
49QGF-84-43-50,2,0.25,3
49QGF-85-43-50,4,0.28,7
49QGF-86-43-50,8,0.28,13
49QGF-87-43-50,2,0.09,3
49QGF-88-43-50,3,0.17,4
49QGF-89-43-50,10,0.37,11
49QGF-90-43-50,2,0.19,2
49QGF-91-43-50,4,0.39,5
49QGF-92-43-50,1,0.35,1
49QGF-93-43-50,7,0.35,8
49QGF-94-43-50,5,0.22,7
49QGF-95-43-50,2,0.31,3
49QGF-96-43-50,2,0.12,3
49QGF-97-43-50,8,0.39,9
49QGF-98-43-50,9,0.32,16
49QGF-99-43-50,8,0.38,10
49QGF-100-43-50,3,0.27,5
49QGF-101-43-50,8,0.35,13
49QGF-102-43-50,1,0.17,2
49QGF-103-43-50,7,0.34,12
49QGF-104-43-50,1,0.3,1
49QGF-105-43-50,1,0.34,1
49QGF-106-43-50,1,0.05,1
49QGF-108-43-50,2,0.08,2
49QGF-111-43-50,1,0.04,2
49QGF-113-43-50,1,0.09,2
49QGF-114-43-50,2,0.08,2
49QGF-116-43-50,1,0.04,2
49QGF-117-43-50,3,0.1,3
49QGF-119-43-50,7,0.3,12
49QGF-120-43-50,1,0.28,1
49QGF-121-43-50,3,0.34,3
49QGF-122-43-50,7,0.33,8
49QGF-123-43-50,3,0.28,3
49QGF-124-43-50,6,0.27,11
49QGF-125-43-50,4,0.17,5
49QGF-126-43-50,1,0.23,1
49QGF-127-43-50,1,0.25,2
49QGF-128-43-50,7,0.28,10
49QGF-129-43-50,3,0.29,5
49QGF-130-43-50,1,0.26,1
49QGF-131-43-50,3,0.37,5
49QGF-132-43-50,4,0.21,5
49QGF-133-43-50,5,0.17,8
49QGF-134-43-50,8,0.28,9
49QGF-135-43-50,7,0.25,8
49QGF-136-43-50,3,0.22,4
49QGF-43-44-50,5,0.27,6
49QGF-44-44-50,2,0.23,2
49QGF-45-44-50,1,0.06,1
49QGF-46-44-50,2,0.07,3
49QGF-47-44-50,3,0.2,3
49QGF-49-44-50,1,0.16,1
49QGF-60-44-50,1,0.06,2
49QGF-61-44-50,2,0.08,2
49QGF-62-44-50,1,0.06,1
49QGF-64-44-50,1,0.23,2
49QGF-65-44-50,3,0.2,5
49QGF-66-44-50,2,0.2,2
49QGF-67-44-50,2,0.28,3
49QGF-68-44-50,4,0.19,5
49QGF-69-44-50,6,0.32,10
49QGF-70-44-50,1,0.16,1
49QGF-71-44-50,3,0.24,5
49QGF-72-44-50,8,0.33,13
49QGF-73-44-50,1,0.26,2
49QGF-74-44-50,2,0.13,2
49QGF-75-44-50,6,0.25,11
49QGF-76-44-50,4,0.21,6
49QGF-77-44-50,4,0.13,6
49QGF-78-44-50,5,0.19,5
49QGF-79-44-50,4,0.28,4
49QGF-80-44-50,7,0.32,7
49QGF-81-44-50,9,0.39,15
49QGF-82-44-50,1,0.06,1
49QGF-83-44-50,13,0.5,19
49QGF-84-44-50,4,0.39,4
49QGF-85-44-50,7,0.28,11
49QGF-86-44-50,4,0.2,5
49QGF-87-44-50,5,0.35,8
49QGF-88-44-50,6,0.33,8
49QGF-89-44-50,3,0.22,5
49QGF-90-44-50,5,0.33,9
49QGF-91-44-50,1,0.11,1
49QGF-92-44-50,8,0.29,11
49QGF-93-44-50,3,0.17,4
49QGF-94-44-50,2,0.33,4
49QGF-95-44-50,3,0.38,5
49QGF-96-44-50,1,0.06,1
49QGF-97-44-50,1,0.31,2
49QGF-98-44-50,7,0.33,12
49QGF-99-44-50,4,0.25,4
49QGF-100-44-50,10,0.47,12
49QGF-101-44-50,1,0.2,1
49QGF-102-44-50,4,0.18,4
49QGF-103-44-50,5,0.27,8
49QGF-104-44-50,7,0.28,9
49QGF-105-44-50,1,0.17,1
49QGF-106-44-50,1,0.03,1
49QGF-108-44-50,1,0.1,1
49QGF-110-44-50,1,0.05,1
49QGF-112-44-50,1,0.04,1
49QGF-114-44-50,1,0.04,1
49QGF-115-44-50,1,0.08,2
49QGF-119-44-50,1,0.12,2
49QGF-120-44-50,4,0.22,7
49QGF-121-44-50,2,0.14,3
49QGF-122-44-50,3,0.11,4
49QGF-123-44-50,2,0.14,3
49QGF-124-44-50,4,0.29,7
49QGF-125-44-50,3,0.35,3
49QGF-126-44-50,2,0.24,3
49QGF-127-44-50,1,0.22,2
49QGF-128-44-50,6,0.26,7
49QGF-129-44-50,6,0.24,9
49QGF-130-44-50,7,0.26,12
49QGF-131-44-50,2,0.27,3
49QGF-132-44-50,1,0.15,1
49QGF-133-44-50,8,0.31,12
49QGF-134-44-50,5,0.25,9
49QGF-135-44-50,3,0.13,4
49QGF-136-44-50,3,0.23,4
49QGF-43-45-50,3,0.23,4
49QGF-45-45-50,1,0.06,2
49QGF-46-45-50,1,0.05,1
49QGF-49-45-50,1,0.07,2
49QGF-50-45-50,1,0.04,1
49QGF-52-45-50,2,0.06,3
49QGF-55-45-50,1,0.06,1
49QGF-56-45-50,4,0.18,4
49QGF-59-45-50,3,0.11,5
49QGF-60-45-50,2,0.08,2
49QGF-63-45-50,1,0.09,1
49QGF-65-45-50,3,0.15,3
49QGF-66-45-50,3,0.15,4
49QGF-67-45-50,5,0.26,6
49QGF-68-45-50,1,0.1,2
49QGF-69-45-50,1,0.26,1
49QGF-70-45-50,5,0.21,5
49QGF-71-45-50,3,0.25,3
49QGF-72-45-50,1,0.26,2
49QGF-73-45-50,3,0.12,4
49QGF-74-45-50,2,0.26,3
49QGF-75-45-50,2,0.2,2
49QGF-76-45-50,2,0.19,3
